Dataset,Sample,Standard_Timesteps,NN_Started_Timesteps,Standard_Permeability,NN_Permeability,Speedup_Ratio,Perm_Error [%]
Tol 0.0001%,Sample_0083,9600,9400.0,59.519073,60.056848,1.0212765957446808,0.9035338974449475
Tol 0.0001%,Sample_0084,3000,1200.0,417.97711,416.95229,2.5,0.24518567535910687
Tol 0.0001%,Sample_0085,3000,1200.0,417.97711,417.04511,2.5,0.22297871766230443
Tol 0.0001%,Sample_0086,3000,1600.0,417.97711,416.94197,1.875,0.24765471008686477
Tol 0.0001%,Sample_0087,3000,1200.0,417.97711,416.9993,2.5,0.23393864798002378
Tol 0.0001%,Sample_0092,2400,1000.0,412.70467,412.50847,2.4,0.047540048432219824
Tol 0.0001%,Sample_0093,2400,600.0,412.70467,412.53744,4.0,0.04052050101590024
Tol 0.0001%,Sample_0094,2400,1400.0,412.70467,412.60621,1.7142857142857142,0.02385725366278155
Tol 0.0001%,Sample_0095,2400,1400.0,412.70467,412.44826,1.7142857142857142,0.0621291733868717
Tol 0.0001%,Sample_0096,6600,3600.0,296.50984,295.44933,1.8333333333333333,0.3576643527243555
Tol 0.0001%,Sample_0097,6600,3600.0,296.50984,295.29793,1.8333333333333333,0.40872505276721643
Tol 0.0001%,Sample_0098,6600,2600.0,296.50984,295.36207,2.5384615384615383,0.3870933929207813
Tol 0.0001%,Sample_0099,6600,3400.0,296.50984,295.386,1.9411764705882353,0.37902283445297225
