time Fx Fy Fz mu Vs As Js Xs vx vy vz absperm(mDa) absperm*(mDa)
5350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598158e-05 -3.4418792e-05 0.00017260896 760.50276 215.34639
5400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598128e-05 -3.441878e-05 0.00017260872 760.50173 215.3461
5450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598099e-05 -3.4418769e-05 0.0001726085 760.50076 215.34582
5500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598072e-05 -3.4418758e-05 0.0001726083 760.49986 215.34557
5550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598046e-05 -3.4418749e-05 0.00017260811 760.49902 215.34533
5600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598022e-05 -3.4418739e-05 0.00017260793 760.49824 215.34511
5650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597999e-05 -3.4418731e-05 0.00017260777 760.49752 215.34491
5700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597977e-05 -3.4418723e-05 0.00017260762 760.49685 215.34472
5750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597957e-05 -3.4418716e-05 0.00017260747 760.49622 215.34454
5800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597938e-05 -3.4418709e-05 0.00017260734 760.49564 215.34438
5850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259792e-05 -3.4418702e-05 0.00017260722 760.4951 215.34422
5900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597903e-05 -3.4418697e-05 0.00017260711 760.49461 215.34408
5950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597887e-05 -3.4418691e-05 0.000172607 760.49415 215.34395
6000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597871e-05 -3.4418686e-05 0.00017260691 760.49372 215.34383
6050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597857e-05 -3.4418681e-05 0.00017260682 760.49332 215.34372
6100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597843e-05 -3.4418677e-05 0.00017260673 760.49296 215.34362
6150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259783e-05 -3.4418673e-05 0.00017260666 760.49263 215.34352
6200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597818e-05 -3.4418669e-05 0.00017260659 760.49232 215.34343
6250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597807e-05 -3.4418666e-05 0.00017260652 760.49204 215.34335
6300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597796e-05 -3.4418663e-05 0.00017260647 760.49178 215.34328
6350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597786e-05 -3.441866e-05 0.00017260641 760.49154 215.34321
6400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597776e-05 -3.4418657e-05 0.00017260636 760.49132 215.34315
6450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597767e-05 -3.4418655e-05 0.00017260632 760.49113 215.3431
6500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597758e-05 -3.4418652e-05 0.00017260628 760.49095 215.34305
6550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597749e-05 -3.441865e-05 0.00017260624 760.49079 215.343
6600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597742e-05 -3.4418648e-05 0.00017260621 760.49064 215.34296
6650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597734e-05 -3.4418647e-05 0.00017260618 760.49051 215.34292
6700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597727e-05 -3.4418645e-05 0.00017260615 760.49039 215.34289
6750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259772e-05 -3.4418644e-05 0.00017260613 760.49029 215.34286
6800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597714e-05 -3.4418642e-05 0.00017260611 760.49019 215.34283
6850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597708e-05 -3.4418641e-05 0.00017260609 760.49011 215.34281
6900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597702e-05 -3.441864e-05 0.00017260607 760.49004 215.34279
6950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597697e-05 -3.4418639e-05 0.00017260606 760.48998 215.34277
7000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597691e-05 -3.4418639e-05 0.00017260605 760.48993 215.34276
7050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597686e-05 -3.4418638e-05 0.00017260604 760.48989 215.34275
7100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597682e-05 -3.4418637e-05 0.00017260603 760.48985 215.34274
7150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597677e-05 -3.4418637e-05 0.00017260602 760.48983 215.34273
7200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597673e-05 -3.4418636e-05 0.00017260602 760.48981 215.34272
7250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597669e-05 -3.4418636e-05 0.00017260601 760.48979 215.34272
7300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597665e-05 -3.4418636e-05 0.00017260601 760.48979 215.34272
