Model,Dataset,Porosity,Permeability,Min_Local_Thickness,Mean_Local_Thickness,Max_Local_Thickness,Minkowski_Volume,Minkowski_Surface_Area,Minkowski_Mean_Curvature,Minkowski_Euler_Characteristic,Bias_Error_,Magnitude_Error_,Correlation,Angular_Error_Deg,Flux_Error,Tortuosity_Error_,Divergent_Residual_
Ko et. al (Etapas 3),Spherical Pores,0.6207615740740741,2603.66064453125,1.0,12.358596690606278,18.658129485507295,1064199.0,20278.91649054243,135.3250638318636,-16.900265519570638,19.909109115600586,43.943321228027344,0.9089523211110894,38.64743423461914,0.7896353602409363,3.5283427238464355,51.06405258178711
Ko et. al (Etapas 3),Spherical Pores,0.6207615740740741,2603.66015625,1.0,12.358596690606282,18.658129485507295,1064199.0,20278.916490542433,135.32506383186364,-16.900265519570638,15.978561401367188,43.87253189086914,0.8860126629307543,41.37125015258789,0.5277395248413086,4.258296489715576,52.72361373901367
Ko et. al (Etapas 3),Spherical Pores,0.6207615740740741,2603.66064453125,1.0,12.358596690606287,18.658129485507295,1064199.0,20278.916490542433,135.3250638318636,-16.900265519570638,21.552133560180664,43.38447189331055,0.9070940346797159,40.84041976928711,0.7890188097953796,2.4403021335601807,51.24483108520508
Ko et. al (Etapas 3),Spherical Pores,0.7062523148148148,1828.0518798828125,1.0,6.508665687618374,9.899494952422772,1212901.0,39485.02628387829,1.1820002461968087e+18,-321.0851505039556,15.348217010498047,17.461061477661133,0.972258661663002,21.043167114257812,0.21662534773349762,1.8613245487213135,37.212860107421875
Ko et. al (Etapas 3),Spherical Pores,0.7062523148148148,1828.0518798828125,1.0,6.508665687618372,9.899494952422772,1212901.0,39485.02628387829,1.1820002461968087e+18,-321.0851505039556,15.647985458374023,17.61655044555664,0.9724001093021949,20.963924407958984,0.2442491501569748,2.0275046825408936,37.16880416870117
Ko et. al (Etapas 3),Spherical Pores,0.7062523148148148,1828.0518798828125,1.0,6.508665687618374,9.899494952422772,1212901.0,39485.02628387829,1.1820002461968087e+18,-321.0851505039556,15.266379356384277,17.17462730407715,0.9741535099903303,21.023317337036133,0.21753302216529846,1.5879862308502197,37.13166046142578
Ko et. al (Etapas 3),Spherical Pores,0.7062523148148148,1828.0521240234375,1.0,6.5086656876183735,9.899494952422772,1212901.0,39485.02628387829,1.1820002461968087e+18,-321.0851505039556,15.910335540771484,17.744598388671875,0.9730067047848526,20.849607467651367,0.2465362697839737,1.9954209327697754,37.19370651245117
Ko et. al (Etapas 3),Spherical Pores,0.6904490740740741,1690.3492431640625,1.0,6.407933055497706,10.344079023679617,1185129.0,39447.44587710295,1.1820002461968087e+18,-305.1696561947661,7.706814765930176,16.007795333862305,0.9597696333308265,21.960529327392578,0.2297741174697876,1.1055269241333008,37.59250259399414
Ko et. al (Etapas 3),Spherical Pores,0.6904490740740741,1690.348876953125,1.0,6.407933055497703,10.344079023679617,1185129.0,39447.44587710296,1.1820002461968087e+18,-305.1696561947661,6.783607006072998,15.14870548248291,0.9638014277236804,21.65206527709961,0.23421740531921387,1.9008337259292603,37.11817169189453
Ko et. al (Etapas 3),Spherical Pores,0.6904490740740741,1690.3492431640625,1.0,6.407933055497706,10.344079023679617,1185129.0,39447.44587710295,1.1820002461968087e+18,-305.1696561947661,7.807398796081543,15.391164779663086,0.9627938929007696,21.959348678588867,0.23071151971817017,1.1718943119049072,37.678260803222656
Ko et. al (Etapas 3),Spherical Pores,0.6904490740740741,1690.34912109375,1.0,6.407933055497704,10.344079023679617,1185129.0,39447.44587710295,1.1820002461968087e+18,-305.1696561947661,6.974664688110352,15.60352611541748,0.9625245761990676,21.603574752807617,0.22912690043449402,1.592883825302124,37.09903335571289
