Model,Dataset,Porosity,Permeability,Min_Local_Thickness,Mean_Local_Thickness,Max_Local_Thickness,Minkowski_Volume,Minkowski_Surface_Area,Minkowski_Mean_Curvature,Minkowski_Euler_Characteristic,Bias_Error_,Magnitude_Error_,Correlation
Ko et. al (Etapa 1),Spherical Pores,0.5107760416666667,1590.3699951171875,1.0,11.572544885058969,18.110771637517,877461.0000000001,20974.899379814673,336.77486651563237,-16.7311633925355,10.688789367675781,42.006126403808594,0.834215938156879
Ko et. al (Etapa 1),Spherical Pores,0.5107760416666667,1590.3702392578125,1.0,11.572544885058974,18.110771637517,877461.0000000001,20974.89937981467,336.77486651563237,-16.7311633925355,8.52755069732666,38.897037506103516,0.8402691156807632
Ko et. al (Etapa 1),Spherical Pores,0.5107760416666667,1590.3699951171875,1.0,11.57254488505897,18.110771637517,877461.0000000001,20974.89937981467,336.7748665156325,-16.7311633925355,9.332980155944824,34.45013427734375,0.8904106965259584
Ko et. al (Etapa 1),Spherical Pores,0.5107760416666667,1590.3702392578125,1.0,11.572544885058976,18.110771637517,877461.0000000001,20974.899379814673,336.77486651563237,-16.7311633925355,7.532570838928223,35.48615646362305,0.8839824660486426
Ko et. al (Etapa 2),Spherical Pores,0.5221400462962963,568.2123413085938,1.0,7.435069575944726,10.891451493412363,897665.0,31603.664815892673,558.3988967004645,-67.1534388008366,3.318462610244751,31.942855834960938,0.910359567732083
Ko et. al (Etapa 2),Spherical Pores,0.5221400462962963,568.21240234375,1.0,7.435069575944727,10.891451493412363,897665.0,31603.664815892673,558.3988967004647,-67.1534388008366,4.179293632507324,28.77947235107422,0.9178541477780673
Ko et. al (Etapa 2),Spherical Pores,0.5221400462962963,568.2122802734375,1.0,7.435069575944724,10.891451493412363,897665.0,31603.66481589268,558.3988967004647,-67.1534388008366,7.968326568603516,32.27696990966797,0.9058227294088276
Ko et. al (Etapa 2),Spherical Pores,0.5221400462962963,568.21240234375,1.0,7.43506957594473,10.891451493412363,897665.0,31603.664815892673,558.3988967004645,-67.1534388008366,6.952890872955322,34.821414947509766,0.8980552930943698
Ko et. al (Etapa 2),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034676,10.891451493412363,888368.0000000001,30611.4425011193,564.4520604255774,-54.66972295206605,0.6750735640525818,30.444183349609375,0.9350904719466723
Ko et. al (Etapa 2),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034675,10.891451493412363,888368.0000000001,30611.4425011193,564.4520604255774,-54.66972295206605,1.947204828262329,29.875486373901367,0.9428629599736977
Ko et. al (Etapa 2),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034679,10.891451493412363,888368.0000000001,30611.442501119294,564.4520604255775,-54.66972295206605,2.9050498008728027,27.645267486572266,0.9506862748484568
Ko et. al (Etapa 2),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034679,10.891451493412363,888368.0000000001,30611.442501119305,564.4520604255775,-54.66972295206605,1.7453945875167847,28.384342193603516,0.9447253073182961
Ko et. al (Etapa 2),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.338204758613024,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,4.488792419433594,42.027488708496094,0.8713127763734766
Ko et. al (Etapa 2),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.338204758613022,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,4.5454630851745605,42.33729553222656,0.869843031550199
Ko et. al (Etapa 2),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.33820475861302,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,6.6528496742248535,38.72991943359375,0.8801821364229774
Ko et. al (Etapa 2),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.338204758613024,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,8.596830368041992,38.54246520996094,0.9070162799196404
Ko et. al (Etapa 2),Spherical Pores,0.5201394675925926,1032.4066162109375,1.0,9.10595948237351,13.484778931738408,893348.0000000001,25876.033958198066,444.6298818250058,-24.83811830627892,7.766407012939453,26.596328735351562,0.9424606199590163
Ko et. al (Etapa 2),Spherical Pores,0.5201394675925926,1032.4066162109375,1.0,9.105959482373514,13.484778931738408,893348.0000000001,25876.033958198066,444.6298818250058,-24.83811830627892,3.686349391937256,28.70240592956543,0.9238171267705012
Ko et. al (Etapa 2),Spherical Pores,0.5201394675925926,1032.406494140625,1.0,9.105959482373514,13.484778931738408,893348.0000000001,25876.033958198066,444.6298818250058,-24.83811830627892,6.7314276695251465,26.954944610595703,0.9388877793520938
Ko et. al (Etapa 2),Spherical Pores,0.5201394675925926,1032.406494140625,1.0,9.105959482373509,13.484778931738408,893348.0000000001,25876.033958198066,444.62988182500567,-24.83811830627892,4.73719596862793,26.051876068115234,0.9389388989617733
Ko et. al (Etapa 2),Spherical Pores,0.5107760416666667,1590.3699951171875,1.0,11.572544885058969,18.110771637517,877461.0000000001,20974.899379814673,336.77486651563237,-16.7311633925355,8.793631553649902,33.22547912597656,0.8634700341752812
Ko et. al (Etapa 2),Spherical Pores,0.5107760416666667,1590.3702392578125,1.0,11.572544885058974,18.110771637517,877461.0000000001,20974.89937981467,336.77486651563237,-16.7311633925355,3.6191132068634033,30.8348331451416,0.8989756966472002
Ko et. al (Etapa 2),Spherical Pores,0.5107760416666667,1590.3699951171875,1.0,11.57254488505897,18.110771637517,877461.0000000001,20974.89937981467,336.7748665156325,-16.7311633925355,11.918497085571289,34.52275848388672,0.8893212121621416
Ko et. al (Etapa 2),Spherical Pores,0.5107760416666667,1590.3702392578125,1.0,11.572544885058976,18.110771637517,877461.0000000001,20974.899379814673,336.77486651563237,-16.7311633925355,13.387152671813965,36.230430603027344,0.866614692884038
Ko et. al (Etapa 3),Spherical Pores,0.5221400462962963,568.2123413085938,1.0,7.435069575944726,10.891451493412363,897665.0,31603.664815892673,558.3988967004645,-67.1534388008366,18.784278869628906,35.94892501831055,0.8988091977393753
Ko et. al (Etapa 3),Spherical Pores,0.5221400462962963,568.21240234375,1.0,7.435069575944727,10.891451493412363,897665.0,31603.664815892673,558.3988967004647,-67.1534388008366,16.76279640197754,37.13675308227539,0.8932832375686631
Ko et. al (Etapa 3),Spherical Pores,0.5221400462962963,568.2122802734375,1.0,7.435069575944724,10.891451493412363,897665.0,31603.66481589268,558.3988967004647,-67.1534388008366,14.754061698913574,37.889278411865234,0.8800963344551529
Ko et. al (Etapa 3),Spherical Pores,0.5221400462962963,568.21240234375,1.0,7.43506957594473,10.891451493412363,897665.0,31603.664815892673,558.3988967004645,-67.1534388008366,13.935446739196777,34.648345947265625,0.8946004556498277
Ko et. al (Etapa 3),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034676,10.891451493412363,888368.0000000001,30611.4425011193,564.4520604255774,-54.66972295206605,16.02245330810547,34.52833557128906,0.9393038213448026
Ko et. al (Etapa 3),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034675,10.891451493412363,888368.0000000001,30611.4425011193,564.4520604255774,-54.66972295206605,16.637025833129883,35.72348403930664,0.9393147990700532
