time Fx Fy Fz mu Vs As Js Xs vx vy vz absperm(mDa) absperm*(mDa)
6800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597012e-05 -3.4418892e-05 0.0001728278 761.46696 215.61942
6850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597004e-05 -3.4418888e-05 0.00017282772 761.46662 215.61932
6900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596997e-05 -3.4418884e-05 0.00017282765 761.46629 215.61923
6950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596989e-05 -3.4418881e-05 0.00017282758 761.46599 215.61914
7000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596983e-05 -3.4418877e-05 0.00017282751 761.4657 215.61906
7050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596976e-05 -3.4418874e-05 0.00017282745 761.46543 215.61898
7100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259697e-05 -3.4418871e-05 0.00017282739 761.46518 215.61891
7150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596965e-05 -3.4418869e-05 0.00017282734 761.46494 215.61884
7200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259696e-05 -3.4418866e-05 0.00017282729 761.46472 215.61878
7250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596955e-05 -3.4418863e-05 0.00017282724 761.46451 215.61872
7300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259695e-05 -3.4418861e-05 0.0001728272 761.46431 215.61867
7350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596946e-05 -3.4418859e-05 0.00017282716 761.46413 215.61861
7400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596942e-05 -3.4418857e-05 0.00017282712 761.46395 215.61857
7450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596938e-05 -3.4418855e-05 0.00017282708 761.46379 215.61852
7500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596934e-05 -3.4418853e-05 0.00017282705 761.46364 215.61848
7550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596931e-05 -3.4418852e-05 0.00017282701 761.46349 215.61844
7600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596928e-05 -3.441885e-05 0.00017282698 761.46336 215.6184
7650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596925e-05 -3.4418849e-05 0.00017282695 761.46323 215.61836
7700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596922e-05 -3.4418847e-05 0.00017282693 761.46311 215.61833
7750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596919e-05 -3.4418846e-05 0.0001728269 761.463 215.6183
7800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596917e-05 -3.4418845e-05 0.00017282688 761.4629 215.61827
7850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596915e-05 -3.4418844e-05 0.00017282685 761.4628 215.61824
7900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596912e-05 -3.4418842e-05 0.00017282683 761.46271 215.61821
7950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259691e-05 -3.4418841e-05 0.00017282681 761.46262 215.61819
8000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596908e-05 -3.4418841e-05 0.0001728268 761.46254 215.61816
8050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596907e-05 -3.441884e-05 0.00017282678 761.46246 215.61814
8100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596905e-05 -3.4418839e-05 0.00017282676 761.46239 215.61812
8150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596903e-05 -3.4418838e-05 0.00017282675 761.46232 215.6181
8200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596902e-05 -3.4418837e-05 0.00017282673 761.46226 215.61809
8250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.25969e-05 -3.4418837e-05 0.00017282672 761.4622 215.61807
8300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596899e-05 -3.4418836e-05 0.00017282671 761.46214 215.61805
8350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596898e-05 -3.4418835e-05 0.00017282669 761.46209 215.61804
8400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596897e-05 -3.4418835e-05 0.00017282668 761.46204 215.61802
8450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596896e-05 -3.4418834e-05 0.00017282667 761.462 215.61801
8500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596895e-05 -3.4418834e-05 0.00017282666 761.46195 215.618
8550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596894e-05 -3.4418833e-05 0.00017282665 761.46191 215.61799
8600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596893e-05 -3.4418833e-05 0.00017282665 761.46187 215.61798
8650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596892e-05 -3.4418832e-05 0.00017282664 761.46184 215.61797
8700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596891e-05 -3.4418832e-05 0.00017282663 761.46181 215.61796
8750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259689e-05 -3.4418832e-05 0.00017282662 761.46177 215.61795
8800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259689e-05 -3.4418831e-05 0.00017282662 761.46174 215.61794
8850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596889e-05 -3.4418831e-05 0.00017282661 761.46172 215.61793
8900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596888e-05 -3.4418831e-05 0.0001728266 761.46169 215.61792
8950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596888e-05 -3.441883e-05 0.0001728266 761.46167 215.61792
9000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596887e-05 -3.441883e-05 0.00017282659 761.46164 215.61791
