time Fx Fy Fz mu Vs As Js Xs vx vy vz absperm(mDa) absperm*(mDa)
6550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596997e-05 -3.4418649e-05 0.00017243055 759.71672 215.12381
6600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596991e-05 -3.4418654e-05 0.00017243111 759.71916 215.1245
6650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596986e-05 -3.4418658e-05 0.00017243166 759.72158 215.12519
6700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596981e-05 -3.4418662e-05 0.0001724322 759.72398 215.12587
6750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596976e-05 -3.4418666e-05 0.00017243274 759.72637 215.12655
6800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596972e-05 -3.441867e-05 0.00017243328 759.72873 215.12721
6850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596968e-05 -3.4418674e-05 0.00017243381 759.73108 215.12788
6900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596963e-05 -3.4418678e-05 0.00017243434 759.73341 215.12854
6950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596959e-05 -3.4418681e-05 0.00017243487 759.73572 215.12919
7000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596955e-05 -3.4418684e-05 0.00017243539 759.73802 215.12984
7050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596951e-05 -3.4418688e-05 0.0001724359 759.74029 215.13049
7100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596948e-05 -3.4418691e-05 0.00017243642 759.74256 215.13113
7150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596944e-05 -3.4418694e-05 0.00017243693 759.7448 215.13176
7200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596941e-05 -3.4418697e-05 0.00017243743 759.74703 215.1324
7250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596938e-05 -3.44187e-05 0.00017243793 759.74924 215.13302
7300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596935e-05 -3.4418702e-05 0.00017243843 759.75143 215.13364
7350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596932e-05 -3.4418705e-05 0.00017243893 759.75361 215.13426
7400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596929e-05 -3.4418708e-05 0.00017243942 759.75578 215.13487
7450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596926e-05 -3.441871e-05 0.00017243991 759.75793 215.13548
7500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596923e-05 -3.4418712e-05 0.00017244039 759.76006 215.13609
7550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596921e-05 -3.4418715e-05 0.00017244087 759.76218 215.13669
7600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596918e-05 -3.4418717e-05 0.00017244135 759.76428 215.13728
7650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596916e-05 -3.4418719e-05 0.00017244182 759.76637 215.13787
